Newcastle City Council Invoices over 500 paid in August 2010
Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765969,Revenue,769.92
Adult and Culture,Social Services - Social Care Payments,2010-08-16,AZURE,4775899,Revenue,502.74
Adult and Culture,Social Services - Social Care Payments,2010-08-16,AZURE,4775900,Revenue,866.16
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AZURE,4778701,Revenue,2021.04
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AZURE,4778702,Revenue,2021.04
Adult and Culture,Social Services - Social Care Payments,2010-08-24,BALMORAL COURT,4789389,Revenue,69070.72
Adult and Culture,Social Services - Social Care Payments,2010-08-12,BARNARDOS,4773759,Revenue,2224.16
Adult and Culture,Social Services - Social Care Payments,2010-08-04,CARE SOLUTIONS LTD,4765985,Revenue,1556.24
Adult and Culture,Social Services - Social Care Payments,2010-08-17,CARE SOLUTIONS LTD,4778908,Revenue,11751.30
Adult and Culture,Social Services - Social Care Payments,2010-08-17,CARE SOLUTIONS LTD,4778909,Revenue,14956.20
Adult and Culture,Social Services - Social Care Payments,2010-08-23,CARE SOLUTIONS LTD,4785253,Revenue,944.24
Adult and Culture,Social Services - Social Care Payments,2010-08-23,CARE SOLUTIONS LTD,4785254,Revenue,7478.10
Adult and Culture,Social Services - Social Care Payments,2010-08-25,CARE SOLUTIONS LTD,4789093,Revenue,622.08
Adult and Culture,Social Services - Social Care Payments,2010-08-09,CARE UK HOMECARE,4769191,Revenue,4001.97
Adult and Culture,Social Services - Social Care Payments,2010-08-05,CARELINE HOMECARE LTD,4765933,Revenue,916.92
Adult and Culture,Social Services - Social Care Payments,2010-08-09,CARELINE HOMECARE LTD,4769189,Revenue,1216.44
Adult and Culture,Social Services - Social Care Payments,2010-08-23,CARELINE HOMECARE LTD,4785390,Revenue,518.96
Adult and Culture,Social Services - Social Care Payments,2010-08-23,CARELINE HOMECARE LTD,4785391,Revenue,518.96
Adult and Culture,Social Services - Social Care Payments,2010-08-23,CARELINE HOMECARE LTD,4785395,Revenue,516.40
