Payment Date,Benificiary Name,Amount
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.68
2012-12-10,AZZURRI COMMUNICATIONS LTD,97.30
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,35.53
2012-12-10,AZZURRI COMMUNICATIONS LTD,70.88
2012-12-10,AZZURRI COMMUNICATIONS LTD,43.50
2012-12-10,AZZURRI COMMUNICATIONS LTD,43.75
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,15.34
2012-12-10,AZZURRI COMMUNICATIONS LTD,80.50
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,58.53
2012-12-10,AZZURRI COMMUNICATIONS LTD,44.54
2012-12-10,AZZURRI COMMUNICATIONS LTD,38.40
2012-12-10,AZZURRI COMMUNICATIONS LTD,24.71
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.51
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,34.38
2012-12-10,AZZURRI COMMUNICATIONS LTD,22.99
2012-12-10,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-10,AZZURRI COMMUNICATIONS LTD,161.30
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,34.38
2012-12-10,AZZURRI COMMUNICATIONS LTD,38.26
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,0.76
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.88
